id	year	place	place_abbrv	latitude	longitude	title	author	subjects	publisher
ocm00370107 	1972	new york	nyu	40.758896	-73.985130	[painting of the high renaissance in rome and florence]	[author:freedberg s j]	[subject:painting renaissance] [subject:painting italian]	[publisher:harper & row]
ocm00371692 	1963	paris	fr	48.86	2.34444	[la conquête du réel la renaissance italienne]	[author:marchais albert]	[subject:peinture de la renaissance] [subject:painting renaissance] [subject:painting italian] [subject:réalisme dans la littérature] [subject:peinture italienne] [subject:realism in art]	[publisher:hachette pierre tisné]
ocm00376227 	1971	vicenza	it	45.55729	11.5409	[disegni veronesi del cinquecento catalogo della mostra a cura di terence mullaly]	[author:mullaly terence]	[subject:drawing renaissance] [subject:drawing italian]	[publisher:n pozza]
ocm00379089 	1969	columbus	ohu	45.26522	-93.05015	[from the collection of ferdinand howald 19th and 20th century paintings school of paris renaissance paintings italian and middle eastern ceramics given to the columbus gallery of fine arts 1931]	[author:young mahonri sharp]	[subject:art]
ocm00386321 	1931	new york	nyu	40.758896	-73.985130	[italian furniture of the renaissance rare majolica brocades velvets renaissance bronzes sculptures stone and terra cotta groups primitive and renaissance paintings]	[author:clemente achille de]	[subject:art]
ocm00398473 	1962	new york	nyu	40.758896	-73.985130	[the italian renaissance in england studies]	[author:einstein lewis]	[subject:italians] [subject:renaissance] [subject:civilization]	[publisher:b franklin]
ocm00399703 	1902	new york	nyu	40.758896	-73.985130	[the italian renaissance in england]	[author:einstein lewis]	[subject:italians] [subject:renaissance] [subject:civilization]	[publisher:columbia university press]
ocm00407085 	1960	lincoln	nbu	41.92111	-71.435	[henry vii in italy the conflict of empire and city state 1310 1313]	[author:bowsky william m]	[subject:renaissance] [subject:italienpolitik] [subject:city states]	[publisher:university of nebraska press]
ocm00408317 	1960	new york	nyu	40.758896	-73.985130	[italian renaissance studies a tribute to the late cecilia m ady]	[author:jacob e f]	[subject:renaissance]	[publisher:barnes & noble]
ocm00408331 	1909	london	enk	51.51334	-0.08901	[renaissance in italy italian literature in two parts]	[author:symonds john addington]	[subject:italian literature]	[publisher:smith elder]
ocm00409178 	1967	new haven	ctu	44.74415	-104.84469	[medieval and renaissance pistoia the social history of an italian town 1200 1430]	[author:herlihy david]	[subject:social history] [subject:sociale geschiedenis]	[publisher:yale university press]
ocm00418978 	1952	london	enk	51.51334	-0.08901	[classic art an introduction to the italian renaissance]	[author:wölfflin heinrich]	[subject:art italian] [subject:art renaissance] [subject:renaissance] [subject:beeldende kunsten]	[publisher:phaidon press]
ocm00423242 	1897	new york	nyu	40.758896	-73.985130	[the venetian painters of the renaissance]	[author:berenson bernard]	[subject:painters italian] [subject:art renaissance]	[publisher:g p putnam s sons]
ocm00441378 	1968	new york	nyu	40.758896	-73.985130	[italian actors of the renaissance]	[author:smith winifred]	[subject:theater] [subject:renaissance] [subject:actors] [subject:schauspieler]	[dewey:792.09]	[publisher:b blom]
ocm00443695 	1968	new york	nyu	40.758896	-73.985130	[humanistic and political literature in florence and venice at the beginning of the quattrocento studies in criticism and chronology]	[author:baron hans]	[subject:literatur] [subject:intellectual life] [subject:kritik] [subject:renaissance] [subject:italian prose literature]	[publisher:russell & russell]
ocm00444634 	1953	new york	nyu	40.758896	-73.985130	[classic art an introduction to the italian renaissance]	[author:wölfflin heinrich]	[subject:art] [subject:art renaissance]	[dewey:709.03]	[publisher:phaidon publishers distributed by garden city books]
ocm00445804 	1970	new york	nyu	40.758896	-73.985130	[masterpieces of italian painting]	[author:thompson james w]	[subject:painting renaissance] [subject:painting italian]	[publisher:h n abrams]
